,year,n,mean,ci_lower,ci_upper,cat
0,1968,3026,26.001189689358892,25.83802857069768,26.164350808020103,winner
1,1969,2556,26.206885758998435,26.031896833992484,26.381874684004387,winner
2,1970,2703,26.866037735849055,26.699029784906212,27.033045686791898,winner
3,1971,3149,27.1009209272785,26.937294709362053,27.26454714519495,winner
4,1972,3209,27.13689622935494,26.96585133061535,27.307941128094527,winner
5,1973,3953,26.51166202883886,26.362673348550885,26.660650709126834,winner
6,1974,3889,26.16742093083055,26.025601266886387,26.30924059477471,winner
7,1975,3948,26.6008358662614,26.459255290268988,26.74241644225381,winner
8,1976,3799,26.46949197157147,26.33167519760284,26.607308745540095,winner
9,1977,4019,26.428614083105252,26.291736537218956,26.56549162899155,winner
10,1978,3748,26.187833511205977,26.048696407730763,26.32697061468119,winner
11,1979,3807,25.840530601523508,25.709142433488626,25.97191876955839,winner
12,1980,3912,25.58507157464213,25.463048421724668,25.70709472755959,winner
13,1981,3849,25.440036373083917,25.3166354599224,25.563437286245435,winner
14,1982,4023,25.25453641561024,25.13245090291431,25.376621928306168,winner
15,1983,3424,24.930695093457942,24.79159955325865,25.069790633657234,winner
16,1984,3222,24.54348230912477,24.408170705749136,24.678793912500403,winner
17,1985,3380,24.145059171597634,24.019949329095887,24.27016901409938,winner
18,1986,3233,23.81862047633777,23.694661805473856,23.942579147201684,winner
19,1987,3523,24.079648027249505,23.96545551178777,24.19384054271124,winner
20,1988,3707,23.982924197464257,23.871150092272714,24.0946983026558,winner
21,1989,3560,24.18615168539326,24.067215056756172,24.305088314030346,winner
22,1990,3668,24.046782988004363,23.941422956523006,24.15214301948572,winner
23,1991,3720,24.19443548387097,24.085367912427774,24.303503055314163,winner
24,1992,3789,24.390498812351545,24.282741862835827,24.498255761867263,winner
25,1993,3890,24.434447300771208,24.338148559511808,24.530746042030607,winner
26,1994,3938,24.667140680548503,24.569645742801644,24.76463561829536,winner
27,1995,3799,24.73242958673335,24.633339832509506,24.831519340957193,winner
28,1996,3773,24.794487145507556,24.695965489098533,24.89300880191658,winner
29,1997,3623,24.879216119238198,24.78056923060118,24.977863007875214,winner
30,1998,3591,25.126649958228906,25.0218812187474,25.231418697710414,winner
31,1999,3334,24.956928614277142,24.844938739484153,25.068918489070132,winner
32,2000,3377,25.00589280426414,24.890331400517148,25.12145420801113,winner
33,2001,3307,24.926731176292712,24.808378382560345,25.04508397002508,winner
34,2002,3212,25.027646326276464,24.909694946124368,25.14559770642856,winner
35,2003,3218,25.145649471721566,25.026639504088557,25.264659439354574,winner
36,2004,3288,25.11903892944039,24.999546878101974,25.238530980778805,winner
37,2005,3264,25.152941176470588,25.029110733841517,25.27677161909966,winner
38,2006,3267,25.252280379553106,25.133065192038966,25.371495567067246,winner
39,2007,3192,25.45451127819549,25.329917491169216,25.579105065221764,winner
40,2008,3123,25.31155939801473,25.18994713975949,25.43317165626997,winner
41,2009,3085,25.784408427876823,25.668964426199793,25.899852429553853,winner
42,2010,3030,26.003729372937293,25.894650529030642,26.112808216843945,winner
43,2011,3015,26.395290215588723,26.282762302334667,26.50781812884278,winner
44,2012,3009,26.80172814888667,26.685851102071435,26.917605195701906,winner
45,2013,2944,27.369429347826088,27.246475984516668,27.49238271113551,winner
46,2014,2901,27.672630127542227,27.538840488461414,27.80641976662304,winner
47,2015,2943,27.832483860006796,27.693854269809773,27.97111345020382,winner
48,2016,2941,27.890275416524993,27.7374290916274,28.043121741422585,winner
49,2017,2911,27.979628993473032,27.817517555628303,28.14174043131776,winner
50,2018,2897,27.554642733862618,27.3841135606954,27.725171907029836,winner
51,2019,2805,27.603458110516932,27.421238855145482,27.785677365888382,winner
52,2020,1462,26.91176470588235,26.67047474764017,27.153054664124532,winner
53,2021,2733,26.951079399926822,26.7772577867015,27.124901013152144,winner
54,2022,2916,26.696604938271605,26.531509496423535,26.861700380119675,winner
55,2023,2984,26.588170241286864,26.431940339932254,26.744400142641474,winner
56,2024,3074,26.396063760572545,26.242358737229512,26.549768783915578,winner
57,1968,3026,25.5004626569729,25.30656123476471,25.69436407918109,loser
58,1969,2556,25.845266040688575,25.638417933550752,26.052114147826398,loser
59,1970,2703,26.210247872734,26.017561714622225,26.402934030845778,loser
60,1971,3149,26.580438234360116,26.402911482029385,26.757964986690848,loser
61,1972,3209,26.418572764100965,26.247949713524484,26.589195814677446,loser
62,1973,3953,26.34900075891728,26.19785548113931,26.500146036695252,loser
63,1974,3889,26.302442787348934,26.155292116900917,26.44959345779695,loser
64,1975,3948,26.428951367781156,26.289077141714028,26.568825593848285,loser
65,1976,3799,26.54177415109239,26.3936440692809,26.68990423290388,loser
66,1977,4019,26.33204777307788,26.184090090239696,26.48000545591606,loser
67,1978,3748,26.36843649946638,26.21825272793565,26.51862027099711,loser
68,1979,3807,26.05198318886262,25.911163856355888,26.192802521369355,loser
69,1980,3912,25.75455010224949,25.62037443459007,25.88872576990891,loser
70,1981,3849,25.41836840737854,25.2838939520556,25.552842862701482,loser
71,1982,4023,25.27464578672632,25.145551716567752,25.40373985688489,loser
72,1983,3424,25.094480140186917,24.952124668113367,25.236835612260467,loser
73,1984,3222,24.774705152079456,24.63300329609564,24.91640700806327,loser
74,1985,3380,24.504704142011832,24.374727721278177,24.634680562745487,loser
75,1986,3233,24.177172904423138,24.048916370521564,24.305429438324712,loser
76,1987,3523,24.19625319330116,24.081686458659547,24.310819927942774,loser
77,1988,3707,24.108659293229028,23.999863523836666,24.21745506262139,loser
78,1989,3560,24.08441011235955,23.969143629103687,24.19967659561541,loser
79,1990,3668,24.251908396946565,24.14257166514876,24.36124512874437,loser
80,1991,3720,24.319327956989245,24.208320513100734,24.430335400877755,loser
81,1992,3789,24.587041435735024,24.475325906479448,24.6987569649906,loser
82,1993,3890,24.633856041131104,24.530332690866704,24.737379391395503,loser
83,1994,3938,24.80596749619096,24.704443554920402,24.907491437461516,loser
84,1995,3799,24.95122400631745,24.844388378020206,25.058059634614693,loser
85,1996,3773,24.915345878611188,24.80899038931002,25.021701367912357,loser
86,1997,3623,24.955506486337292,24.850408556986906,25.060604415687678,loser
87,1998,3591,25.028292954608744,24.919053127764833,25.137532781452656,loser
88,1999,3334,25.133323335332932,25.014615039973613,25.25203163069225,loser
89,2000,3377,25.170861711578326,25.053071533691885,25.288651889464766,loser
90,2001,3307,25.224039915331115,25.10413090472686,25.343948925935372,loser
91,2002,3212,25.129358655043585,25.01092536564467,25.2477919444425,loser
92,2003,3218,25.221379738968302,25.100316503073117,25.342442974863488,loser
93,2004,3288,25.320772506082726,25.1953360763767,25.44620893578875,loser
94,2005,3264,25.450735294117646,25.322135704351243,25.579334883884048,loser
95,2006,3267,25.60171411080502,25.472645000626343,25.730783220983696,loser
96,2007,3192,25.684147869674188,25.55517352821182,25.813122211136555,loser
97,2008,3123,25.69068203650336,25.560031514292064,25.82133255871466,loser
98,2009,3085,26.11805510534846,25.992274563170497,26.243835647526424,loser
99,2010,3030,26.096270627062705,25.97266698573995,26.21987426838546,loser
100,2011,3015,26.381160862354893,26.256726384741192,26.505595339968593,loser
101,2012,3009,26.848720505151213,26.723762719176616,26.97367829112581,loser
102,2013,2944,27.06311141304348,26.92721774984518,27.19900507624178,loser
103,2014,2901,27.330748017924854,27.187023672060533,27.474472363789175,loser
104,2015,2943,27.386408426775397,27.237860505807706,27.534956347743087,loser
