,year,tier,n,mean,ci_lower,ci_upper
36,1991,futures,446,183.4372197309417,182.83749092563497,184.03694853624845
39,1992,futures,389,183.06426735218508,182.4307360827006,183.69779862166956
42,1993,futures,401,183.03241895261846,182.41998599868884,183.64485190654807
45,1994,futures,415,183.00722891566264,182.40126289592095,183.61319493540432
48,1995,futures,409,183.0684596577017,182.44435037686657,183.69256893853685
51,1996,futures,398,182.8643216080402,182.24101874467453,183.48762447140587
54,1997,futures,400,182.905,182.24341929019084,183.56658070980916
57,1998,futures,396,183.0050505050505,182.36517451557512,183.64492649452586
60,1999,futures,422,183.15165876777252,182.54534189381087,183.75797564173416
63,2000,futures,416,183.60576923076923,182.98402910794783,184.22750935359062
66,2001,futures,421,183.92399049881234,183.28953817431133,184.55844282331336
69,2002,futures,414,184.06280193236714,183.46550735980773,184.66009650492654
72,2003,futures,450,184.17333333333335,183.59218030332335,184.75448636334335
75,2004,futures,436,184.26146788990826,183.6469601380879,184.87597564172862
78,2005,futures,434,184.34101382488478,183.73246080468283,184.94956684508674
81,2006,futures,435,184.37241379310345,183.76485865512703,184.97996893107987
84,2007,futures,440,184.37727272727273,183.77383011896586,184.9807153355796
87,2008,futures,444,184.24099099099098,183.64501505135584,184.83696693062612
90,2009,futures,448,184.15178571428572,183.5480316996885,184.75553972888295
93,2010,futures,430,184.56976744186048,183.94170952514796,185.197825358573
96,2011,futures,500,184.014,183.44733314564888,184.58066685435114
99,2012,futures,578,183.96712802768167,183.43103553740426,184.50322051795908
102,2013,futures,646,184.374613003096,183.8698937932633,184.8793322129287
105,2014,futures,699,184.3576537911302,183.8667254762201,184.84858210604028
108,2015,futures,792,184.28156565656565,183.8240619527731,184.7390693603582
111,2016,futures,877,184.11288483466362,183.6701767494909,184.55559291983633
114,2017,futures,958,184.13883089770354,183.7186650279193,184.5589967674878
117,2018,futures,1034,183.97292069632496,183.5588771609658,184.38696423168412
120,2019,futures,1070,183.97102803738318,183.55809103511817,184.3839650396482
123,2020,futures,799,184.10513141426785,183.62862213056803,184.58164069796766
126,2021,futures,1087,183.9015639374425,183.4887167409509,184.31441113393407
129,2022,futures,1253,183.8419792498005,183.4581015288777,184.22585697072327
132,2023,futures,1198,183.84808013355592,183.45369774343655,184.2424625236753
135,2024,futures,1061,183.6258246936852,183.20708236239523,184.04456702497515
0,1968,main,115,181.8608695652174,180.73059971401983,182.99113941641497
1,1969,main,114,181.71052631578948,180.55985943382464,182.86119319775432
2,1970,main,122,181.5737704918033,180.41149969745788,182.7360412861487
3,1971,main,126,181.5793650793651,180.4197892835408,182.73894087518937
4,1972,main,132,181.8939393939394,180.80096010835805,182.98691867952076
5,1973,main,150,181.90666666666667,180.8500314975965,182.96330183573684
6,1974,main,158,181.8860759493671,180.84828328930485,182.92386860942935
