,year,n,mean,ci_lower,ci_upper,cat
0,1968,1036,182.9169884169884,182.56413972020064,183.26983711377616,winner
1,1969,1071,182.2296918767507,181.8626899887712,182.59669376473022,winner
2,1970,1210,181.9801652892562,181.6418438760529,182.31848670245952,winner
3,1971,1358,182.2879234167894,181.97510024738511,182.60074658619368,winner
4,1972,1488,182.34744623655914,182.05511363667287,182.6397788364454,winner
5,1973,1796,182.17538975501114,181.89638488165912,182.45439462836316,winner
6,1974,1729,181.7322151532678,181.45108976931948,182.0133405372161,winner
7,1975,1895,181.55725593667546,181.2827390135307,181.83177285982023,winner
8,1976,1960,181.5612244897959,181.27798308456119,181.84446589503062,winner
9,1977,2267,182.29245699161888,182.03567136506013,182.54924261817763,winner
10,1978,2425,182.15463917525773,181.89712331036398,182.41215504015148,winner
11,1979,2573,182.72289156626505,182.46173303330605,182.98405009922405,winner
12,1980,2813,182.68823320298614,182.4424911299223,182.93397527604998,winner
13,1981,3029,182.57939914163092,182.34135348728083,182.817444795981,winner
14,1982,3443,183.12111530641883,182.91148577916394,183.33074483367372,winner
15,1983,3160,183.19810126582277,182.98284041242104,183.4133621192245,winner
16,1984,3058,183.69620667102683,183.47585816494265,183.916555177111,winner
17,1985,3233,183.62171357871946,183.41016105334552,183.8332661040934,winner
18,1986,3079,183.66222799610264,183.43587507888137,183.88858091332392,winner
19,1987,3372,183.49288256227757,183.27706958600595,183.7086955385492,winner
20,1988,3528,183.3466553287982,183.14528687332313,183.54802378427325,winner
21,1989,3367,183.34838134838134,183.1411542474078,183.55560844935488,winner
22,1990,3469,183.88699913519747,183.68086153909323,184.0931367313017,winner
23,1991,3508,184.27337514253136,184.07419369127211,184.4725565937906,winner
24,1992,3598,184.6775986659255,184.47080869247196,184.88438863937904,winner
25,1993,3714,184.89229940764673,184.68510175185287,185.0994970634406,winner
26,1994,3755,184.9866844207723,184.78625839510676,185.18711044643783,winner
27,1995,3612,185.10880398671097,184.90751652017852,185.31009145324342,winner
28,1996,3572,185.30935050391938,185.10747078135736,185.5112302264814,winner
29,1997,3429,185.08282298046078,184.87795581044207,185.28769015047948,winner
30,1998,3386,184.73538098050798,184.5326561470341,184.93810581398188,winner
31,1999,3137,184.8281797896079,184.60875430314823,185.04760527606757,winner
32,2000,3168,184.86079545454547,184.6408913312794,185.08069957781154,winner
33,2001,3114,184.2241490044958,184.01139086555096,184.43690714344066,winner
34,2002,3002,184.5506329113924,184.33702363313986,184.76424218964493,winner
35,2003,3010,184.46976744186045,184.23994043542478,184.69959444829612,winner
36,2004,3066,185.01859099804307,184.79777670510475,185.23940529098138,winner
37,2005,3057,184.63068367680734,184.40249039215587,184.8588769614588,winner
38,2006,3051,184.9649295313012,184.7466752946749,185.18318376792752,winner
39,2007,2984,185.26608579088472,185.03391352210707,185.49825805966236,winner
40,2008,2930,185.79726962457337,185.56284537614795,186.0316938729988,winner
41,2009,2915,186.0607204116638,185.81490151441918,186.3065393089084,winner
42,2010,2884,186.18377253814148,185.94399802568404,186.42354705059893,winner
43,2011,2861,186.61237329605032,186.3556209861038,186.86912560599686,winner
44,2012,2848,186.7738764044944,186.50600323040427,187.0417495785845,winner
45,2013,2789,187.13445679455,186.8706262561899,187.39828733291012,winner
46,2014,2771,187.337784193432,187.0647726727296,187.61079571413438,winner
47,2015,2825,187.62973451327434,187.35976448510496,187.89970454144373,winner
48,2016,2873,187.4256874347372,187.16141126036143,187.68996360911297,winner
49,2017,2832,187.3382768361582,187.06539657890815,187.61115709340825,winner
50,2018,2834,187.87297106563162,187.60887789717964,188.1370642340836,winner
51,2019,2778,187.5460763138949,187.27101189821596,187.82114072957384,winner
52,2020,1430,187.55664335664335,187.1842487951997,187.929037918087,winner
53,2021,2715,187.96979742173113,187.70357032108186,188.2360245223804,winner
54,2022,2884,187.54403606102636,187.2871936109055,187.80087851114723,winner
55,2023,2945,187.61731748726655,187.3800128405296,187.8546221340035,winner
56,2024,3015,187.8301824212272,187.59964107030598,188.0607237721484,winner
57,1968,1036,183.04440154440155,182.6901861836688,183.3986169051343,loser
58,1969,1071,182.7563025210084,182.41125104002126,183.10135400199553,loser
59,1970,1210,182.50578512396694,182.1818180432319,182.82975220470198,loser
60,1971,1358,182.34315169366715,182.03087751181732,182.65542587551698,loser
61,1972,1488,182.34005376344086,182.0346454911407,182.64546203574102,loser
62,1973,1796,182.20044543429844,181.9108225963176,182.4900682722793,loser
