year,avg_minutes,std_minutes,short_threshold,long_threshold,short_count,medium_count,long_count,total_matches
1991,103.08124806919987,37.891408628943836,65.18983944025604,140.9726566981437,454,2299,484,3237
1992,106.14156898106403,38.649722620375506,67.49184636068853,144.79129160143953,433,2392,502,3327
1993,100.06358199559332,33.92705519854125,66.13652679705208,133.99063719413456,449,2189,539,3177
1994,93.70277324632953,30.112323592240884,63.590449654088644,123.81509683857041,398,2146,521,3065
1995,92.75844486934353,31.511942477664558,61.24650239167897,124.2703873470081,416,2219,503,3138
1996,92.55040957781979,31.731815429518946,60.818594148300846,124.28222500733874,383,2306,485,3174
1997,95.75303643724696,33.6610239768445,62.092012460402465,129.41406041409147,473,2266,472,3211
1998,93.96770025839793,34.29730684578983,59.6703934126081,128.26500710418776,378,2270,448,3096
1999,98.29551630434783,36.794379108093736,61.50113719625409,135.08989541244156,382,2133,429,2944
2000,99.18014955812373,36.0372343276382,63.14291523048553,135.21738388576193,404,2110,428,2942
2001,100.91545975075783,37.47185727629452,63.44360247446331,138.38731702705235,380,2145,444,2969
2002,101.90562036055144,39.28940872718291,62.61621163336853,141.19502908773435,361,2067,401,2829
2003,100.4248039914469,38.87174227005418,61.553061721392716,139.29654626150108,351,2036,419,2806
2004,100.52518235498437,38.69501714342704,61.83016521155733,139.2201994984114,334,2111,434,2879
2005,101.98488491927172,39.29107754811835,62.69380737115337,141.27596246739006,332,2155,424,2911
2006,104.45170161567549,40.096163911422046,64.35553770425344,144.54786552709754,368,2112,429,2909
2007,103.13252582828643,38.75209832863728,64.38042749964916,141.8846241569237,353,2042,412,2807
2008,105.3862567811935,40.01886077479744,65.36739600639606,145.40511755599093,340,2000,425,2765
2009,107.54162082874954,41.26375368672113,66.27786714202841,148.80537451547067,355,1994,378,2727
2010,107.03425167535369,42.14800935165961,64.88624232369408,149.18226102701328,311,2005,370,2686
2011,108.3189430591738,40.15067333862728,68.16826972054653,148.46961639780108,326,1959,402,2687
2012,110.2910447761194,43.14898184453162,67.14206293158779,153.44002662065103,299,2007,374,2680
2013,103.83964791427478,39.95791149247876,63.88173642179602,143.79755940675352,279,1963,371,2613
2014,104.37723387723388,38.73517522122555,65.64205865600832,143.11240909845944,312,1890,372,2574
2015,105.13069016152717,38.83086345628504,66.29982670524214,143.9615536178122,179,973,210,1362
2016,109.35318416523236,46.51288230959279,62.840301855639574,155.86606647482515,247,2286,372,2905
2017,109.4920690870638,44.777088827936964,64.71498025912683,154.26915791500076,302,2173,362,2837
2018,110.6478626489138,42.114631267870045,68.53323138104375,152.76249391678385,372,2074,408,2854
2019,110.78401486988848,40.85652094914845,69.92749392074003,151.64053581903693,345,1955,390,2690
2020,118.97888810696692,45.32212846526494,73.65675964170198,164.30101657223184,185,1035,201,1421
2021,113.29396226415095,42.80403873171789,70.48992353243307,156.09800099586883,326,1943,381,2650
2022,115.61054228289723,42.37635332696236,73.23418895593487,157.98689560985957,335,1882,420,2637
2023,119.2476397966594,44.365613984239815,74.88202581241958,163.6132537808992,338,2001,415,2754
2024,115.38548273431995,41.7531404575079,73.63234227681205,157.13862319182783,344,2091,403,2838
