formula,accuracy_score,log_loss,brier_score_loss,roc_auc_score
win ~ dh,0.5443238353686115,0.6883378176011291,0.24760368578446112,0.561087085439543
win ~ I(dh * year),0.5443238353686115,0.6883110277245221,0.2475904711549513,0.5609650648938606
win ~ dh + year,0.5443238353686115,0.6883378176011291,0.24760368578446107,0.5610870854395429
"win ~ bs(p1_ht, df=4) + bs(p2_ht, df=4)",0.5440976933514247,0.6883991124344407,0.24763583478444265,0.5594350648181731
"win ~ cr(dh, df=4)",0.5443238353686115,0.6883232144670637,0.24759978367239863,0.561087085439543
"win ~ bs(dh, df=4)",0.5443238353686115,0.6883060549256445,0.24759094498977632,0.561087085439543
"win ~ bs(p1_ht, df=5) + bs(p2_ht, df=5)",0.5443238353686115,0.6884072897818817,0.24764001542598635,0.5594292348340122
"win ~ cr(dh, df=5)",0.5443238353686115,0.6883105534782095,0.247593434532793,0.561087085439543
"win ~ bs(dh, df=5)",0.5443238353686115,0.6883836160621416,0.2476289155270934,0.561087085439543
"win ~ bs(p1_ht, df=6) + bs(p2_ht, df=6)",0.5448891904115785,0.6883506702288744,0.2476124320910306,0.5598804321388821
"win ~ cr(dh, df=6)",0.5443238353686115,0.6883893668408453,0.2476317256152287,0.561087085439543
"win ~ bs(dh, df=6)",0.5443238353686115,0.688383616062143,0.24762891552709407,0.561087085439543
"win ~ bs(p1_ht, df=7) + bs(p2_ht, df=7)",0.5445499773857982,0.6884195597603647,0.24764594761401754,0.5606374223410311
"win ~ cr(dh, df=7)",0.5443238353686115,0.6883983290856611,0.2476360650399047,0.561087085439543
"win ~ bs(dh, df=7)",0.5443238353686115,0.6883830676567252,0.24762867043422881,0.561087136579755
"win ~ bs(p1_ht, df=8) + bs(p2_ht, df=8)",0.5318860244233379,0.68944328287639,0.24815676574114814,0.5482619768842151
"win ~ cr(dh, df=8)",0.5443238353686115,0.6883844833506549,0.24762928695452813,0.5610870087292249
"win ~ bs(dh, df=8)",0.5443238353686115,0.6883858304878595,0.2476300621324103,0.5610868553085893
"win ~ bs(p1_ht, df=9) + bs(p2_ht, df=9)",0.5312075983717774,0.6889459410827203,0.24791007856324287,0.5492712801070099
"win ~ cr(dh, df=9)",0.5443238353686115,0.6883775844307174,0.2476259724052611,0.5610872900003906
"win ~ bs(dh, df=9)",0.5443238353686115,0.6883819867259354,0.24762816899801293,0.561087111009649
win ~ dh + I(dh**2),0.5443238353686115,0.6883378176011292,0.24760368578446112,0.561087085439543
