year,n,diff_mean,ci_lower,ci_upper
1968,1036,-0.12741312741314914,-0.645752895752878,0.361052123552128
1969,1071,-0.526610644257687,-1.0289682539682574,-0.018650793650807303
1970,1210,-0.5256198347107386,-1.006611570247913,-0.0429752066115725
1971,1358,-0.05522827687775589,-0.48970913107510655,0.40427098674521744
1972,1488,0.0073924731182728465,-0.4341397849462396,0.4261088709677237
1973,1796,-0.025055679287305566,-0.4527004454343192,0.38086024498885385
1974,1729,-0.13649508386350817,-0.5628253325621714,0.28000289184498717
1975,1895,-0.27440633245382173,-0.669670184696578,0.11455145118733207
1976,1960,-0.4974489795918373,-0.9025637755102089,-0.08059948979592242
1977,2267,-0.30216144684604274,-0.6772055580061895,0.06133656815173142
1978,2425,-0.374020618556699,-0.7220824742268199,-0.01605154639175498
1979,2573,0.022541780023317415,-0.33815584920326813,0.38636805285658415
1980,2813,0.20440810522575248,-0.13084784927124887,0.541077141841442
1981,3029,0.25057774843185143,-0.0739600528227129,0.5754539451964418
1982,3443,0.7885564914319048,0.4878957304676028,1.0920781295382176
1983,3160,0.23892405063290312,-0.06431962025317829,0.5594936708860707
1984,3058,0.31229561805102435,0.012001308044492736,0.6036870503597227
1985,3233,0.3835446953294195,0.09712341478504456,0.6872950819672148
1986,3079,0.5310165638194349,0.19485222474829697,0.8562520298798262
1987,3372,0.3549822064056798,0.04473606168445628,0.6451141755634497
1988,3528,0.2168367346938851,-0.05670351473924384,0.5026077097505937
1989,3367,-0.09207009207011652,-0.3884838134837885,0.19456489456490528
1990,3469,0.24070337272991083,-0.06025511674833197,0.5361775727875511
1991,3508,0.7177879133409419,0.43469213226910314,1.0034706385404886
1992,3598,0.4933296275708585,0.22535436353529192,0.799061978877146
1993,3714,0.6130856219709244,0.3368268712977958,0.8939956919762909
1994,3755,0.6125166444740273,0.3347336884154629,0.8721704394141057
1995,3612,0.4817275747508347,0.20449889258027057,0.7655177187153902
1996,3572,0.34070548712205095,0.06462765957446735,0.6122690369540869
1997,3429,0.3315835520560029,0.040529308836395474,0.6244167395742385
1998,3386,0.21116361488483903,-0.06946249261665187,0.4985380980508075
1999,3137,0.45425565827221703,0.15011954096268312,0.7714695569015012
2000,3168,0.6909722222222285,0.38066603535353066,1.008854166666677
2001,3114,0.15414258188823737,-0.15642260757869408,0.4512122671804831
2002,3002,0.38640906062624936,0.07391738840772391,0.6886075949367079
2003,3010,0.1159468438538056,-0.22127076411962462,0.4468438538206101
2004,3066,0.0016307893020268693,-0.32030332681017626,0.31604696673190347
2005,3057,0.0003271180896433634,-0.3307163886162819,0.3229391560353196
2006,3051,0.3700426089806683,0.049147820386775724,0.6798017043592174
2007,2984,0.39979892761394353,0.05692861930294768,0.7289292895442434
2008,2930,0.6211604095562961,0.2938566552901136,0.96250853242321
2009,2915,1.0284734133790607,0.689837049742701,1.3609176672384249
2010,2884,0.7316227461858773,0.37721047156724696,1.07247746185853
2011,2861,0.9339391821041545,0.5758650821391115,1.28733834323663
2012,2848,0.979634831460686,0.6182935393258241,1.3205846207865142
2013,2789,0.8454643241304893,0.4635711724632337,1.1925869487271568
2014,2771,0.4857452183327382,0.1273818116203671,0.8495849873691799
2015,2825,0.6251327433628262,0.23984955752213255,0.9938849557522261
2016,2873,0.8043856595892578,0.4409763313609581,1.159119387399925
2017,2832,0.5123587570621453,0.12392302259888624,0.8912782485875842
2018,2834,1.0659844742413611,0.6964890613973281,1.4347388849682545
2019,2778,0.5835133189345072,0.19435745140389643,0.9719762419006334
2020,1430,1.0671328671328695,0.5355944055944057,1.5902622377622455
2021,2715,1.181583793738497,0.837366482504585,1.5573204419889333
2022,2884,0.9330790568654663,0.5922243411927852,1.2840759361997436
2023,2945,0.9789473684210463,0.6583616298811407,1.309694397283534
2024,3015,1.138640132669991,0.8331426202321793,1.458706467661699
